title,release_year,main_character_name,main_character_gender,country
Small World,2010,Gérard Depardieu,Male,France
One Husband Too Many,2010,Alain Delon,Male,France
Angel & Tony,2010,Clotilde Hesme,Female,France
You Will Be My Son,2011,Niels Arestrup,Male,France
Gebo and the Shadow,2012,Michael Lonsdale,Male,France
The Conquest,2011,Denis Podalydès,Male,France
Hand in Hand,2012,Valérie Lemercier,Female,France
Three Worlds,2012,Raphaël Personnaz,Male,France
Blue Bird,2011,Bafiokadie Potey,Male,France
"Il était une fois, une fois",2012,François-Xavier Demaison,Male,France
His Mother's Eyes,2011,Catherine Deneuve,Female,France
Destinée,2012,Michelle Chen,Female,France
Le fantasme d'une bernique,2010,Amandine Boulet,Female,France
Goodbye Morocco,2012,Lubna Azabal,Female,France
Above Suspicion,2011,Cristiana Réali,Female,France
Santa's Apprentice,2010,Julie Gayet,Female,France
Roxana's Hands,2012,Sylvie Testud,Female,France
Monsieur Papa,2011,Michèle Laroque,Female,France
Dharma Guns (La succession Starkov),2010,Guy McKnight,Male,France
Stretch,2011,Nicolas Cazalé,Male,France
True Friends,2012,Gérard Lanvin,Male,France
The Marquise of Darkness,2010,Anne Parillaud,Female,France
The Zigzag Kid,2012,Thomas Simon,Male,France
Joan of Arc at the Stake,2012,Marion Cotillard,Female,France
A Butterfly Kiss,2011,Valeria Golino,Female,France
Comme les cinq doigts de la main,2010,Patrick Bruel,Male,France
"Ni reprise, ni échangée",2010,Muriel Robin,Female,France
The Dandelions,2012,Agnès Jaoui,Female,France
La certosa di Parma,2012,Marie-Josée Croze,Female,France
El Turrrf,2012,Clémentine Poidatz,Female,France
Le mentor,2012,Jean-Pierre Mocky,Male,France
My Father's Guests,2010,Karin Viard,Female,France
A Greek Type of Problem,2012,Nicole Garcia,Female,France
All Our Desires,2011,Vincent Lindon,Male,France
The Field of Enchantment,2011,Simon Delagnes,Male,France
Emma,2011,Rebecca Marder,Female,France
Holiday Camp,2010,Emylou Brunet,Male,France
Secrets of the Village,2011,Yann Peira,Male,France
La planque,2011,Jalil Naciri,Male,France
Bacon on the Side,2010,Ramzy Bedia,Male,France
Cinderella 3D,2012,Alexandra Lamy,Female,France
Les Mythos,2011,Stéphanie Crayencour,Female,France
"L'amour, la mort, les fringues",2011,Pascale Arbillot,Female,France
Alexandra David-Néel: J'irai au pays des neiges,2012,Dominique Blanc,Female,France
On the Shore,2011,Daniel Duval,Male,France
Libre échange,2010,Carole Bouquet,Female,France
The Perfect Stranger,2011,Bruno Debrandt,Male,France
Blood from a Stone,2011,Daniel Auteuil,Male,France
Cherry on the Cake,2012,Laura Morante,Female,France
De l'huile sur le feu,2011,Nader Boussandel,Male,France
The Pirogue,2012,Souleymane Seye Ndiaye,Male,France
Bye Bye maman,2012,Audrey Bastien,Female,France
Jeu de chiennes,2011,Marie-Astrid Jamois,Male,France
Two Sunny Days,2010,Maya Sansa,Female,France
Iris in Bloom,2011,Lola Créton,Female,France
A Lady in Paris,2012,Jeanne Moreau,Female,France
Master of the World,2011,Boris Beynet,Male,France
Last Screening,2011,Pascal Cervo,Male,France
De force,2011,Isabelle Adjani,Female,France
My Lucky Star,2012,Christopher Lambert,Male,France
Les belles soeurs,2011,Evelyne Bouix,Female,France
Ma compagne de nuit,2011,Emmanuelle Béart,Female,France
Les coquillettes,2012,Camille Genaud,Male,France
Play It Like Godard,2011,Vincent Lacoste,Male,France
Night Across the Street,2012,Christian Vadim,Male,France
David et Madame Hansen,2012,Isabelle Adjani,Female,France
Max,2012,Mathilde Seigner,Female,France
Donnant donnant,2010,Daniel Auteuil,Male,France
Bachelor Days Are Over,2011,Benjamin Biolay,Male,France
Together Is Too Much,2010,Nathalie Baye,Female,France
Chez Gino,2011,José Garcia,Male,France
Pirate TV,2012,Félix Moati,Male,France
Family Tree,2010,Guy Marchand,Male,France
L'étoile du jour,2012,Denis Lavant,Male,France
In Love,2011,Julie Gayet,Female,France
La croisière,2011,Charlotte de Turckheim,Female,France
Imogène McCarthery,2010,Catherine Frot,Female,France
Top Floor Left Wing,2010,Hippolyte Girardot,Male,France
Looking for Hortense,2012,Jean-Pierre Bacri,Male,France
Mes héros,2012,Josiane Balasko,Female,France
Hitler in Hollywood,2010,Maria de Medeiros,Female,France
Pauline détective,2012,Sandrine Kiberlain,Female,France
"Thelma, Louise et Chantal",2010,Jane Birkin,Female,France
Radiostars,2012,Manu Payet,Male,France
Berthe Morisot,2012,Marine Delterme,Female,France
Asphalt Playground,2012,Azize Diabaté Abdoulaye,Male,France
Memory Lane,2010,Thibault Vinçon,Male,France
In a Rush,2012,Marthe Keller,Female,France
Rebecca H. (Return to the Dogs),2010,Géraldine Pailhas,Female,France
Paname,2010,Nicolas Villena,Male,France
Possessions,2011,Jérémie Renier,Male,France
Ombline,2012,Mélanie Thierry,Female,France
Mobile Home,2012,Arthur Dupont,Male,France
Looking for Simon,2011,Corinna Harfouch,Female,France
My Name Is Bernadette,2011,Katia Miran,Female,France
The Dickslap,2012,Franc Bruneau,Male,France
Les tribulations d'une caissière,2011,Déborah François,Female,France
Eject,2010,Rani Bheemuck,Female,France
Kinshasa Kids,2012,Gabi Bolenge,Male,France
Pauline & François,2010,Laura Smet,Female,France
Land of My Dreams,2012,Julie Brémond,Female,France
The Disintegration,2011,Rashid Debbouze,Male,France
Last Blood,2011,Frans Boyer,Male,France
The Miracle of Life,2010,Alexandra Pic,Female,France
Rue Mandar,2012,Sandrine Kiberlain,Female,France
15 Lads,2011,François Civil,Male,France
Armed Hands,2012,Roschdy Zem,Male,France
Leila,2010,Leïla Bekhti,Female,France
Low Cost,2010,Jean-Paul Rouve,Male,France
Les fraises des bois,2011,Juliette Damiens,Male,France
Petite fille,2010,Hélène Fillières,Female,France
"Par exemple, Electre",2012,Jeanne Balibar,Female,France
Fear,2010,Sophie Quinton,Female,France
Chateaubriand,2010,Frédéric Diefenthal,Male,France
The Counsel,2010,Benoît Magimel,Male,France
The Philosopher,2010,Jean Reno,Male,France
Itinéraire bis,2011,Fred Testot,Male,France
Flowers of Evil,2010,Rachid Yous,Male,France
Quand je serai petit,2012,Jean-Paul Rouve,Male,France
L'étranger,2010,Aurélien Recoing,Male,France
Last Caress,2010,Julie Baron,Male,France
"En chantier, monsieur Tanner!",2010,Jean-Paul Rouve,Male,France
The Empty Home,2012,Maral Koichukaraeva,Male,France
Bowling,2012,Catherine Frot,Female,France
Fabienne,2011,Catherine Frot,Female,France
Rêve bébé rêve,2011,Nicolas Ly,Male,France
Final Balance,2011,Jean-Paul Rouve,Male,France
Kids of Töday,2011,Yves Adrien,Male,France
Bad Toys II,2012,Richard Darbois,Male,France
Le baltringue,2010,Vincent Lagaf,Male,France
Bas-fonds,2010,Valérie Nataf,Female,France
Snow Canon,2011,Nilaya Bal,Male,France
Show Buzz,2011,Aurélie Matéo,Female,France
At Home for Christmas,2011,Virginie Efira,Female,France
Cornouaille,2012,Vanessa Paradis,Female,France
Belleville-Tokyo,2010,Valérie Donzelli,Female,France
Photo,2012,Anna Mouglalis,Female,France
Pater,2011,Vincent Lindon,Male,France
Welcome to Argentina,2012,Nicolas Duvauchelle,Male,France
A Child of Yours,2012,Lou Doillon,Female,France
Louise's Diary 1942,2010,Anémone,Female,France
Une journée ordinaire,2011,Alain Delon,Male,France
Mangrove,2011,Lucia,Male,France
Virgin Margarida,2012,Iva Mugalela,Male,France
Nana,2011,Kelyna Lecomte,Male,France
Rule of Three,2011,Golshifteh Farahani,Female,France
Dubaï Flamingo,2012,Vanessa Paradis,Female,France
In the Name of the Son,2012,Astrid Whettnall,Female,France
Carmen,2011,Vicky Luengo,Female,France
Five,2011,François Civil,Male,France
La ligne droite,2011,Rachida Brakni,Female,France
Holiday,2010,Jean-Pierre Darroussin,Male,France
Aglaée,2010,Diane Benmaor,Male,France
Here Below,2012,Céline Sallette,Female,France
La femme du boulanger,2010,Michel Galabru,Male,France
"Les aventures de Philibert, capitaine puceau",2011,Jérémie Renier,Male,France
Moi à ton âge!,2012,Michèle Laroque,Female,France
Arrête de pleurer Pénélope,2012,Juliette Arnaud,Female,France
Winter Frog,2011,Gérard Depardieu,Male,France
"Demain, je me marie",2010,Delphine Chanéac,Female,France
Last Winter,2011,Vincent Rottiers,Male,France
Au bistro du coin,2011,Fred Testot,Male,France
The Perfect Son-in-Law? 2,2010,Frédéric Diefenthal,Male,France
Jimmy Rivière,2011,Guillaume Gouix,Male,France
Two Ships,2012,Laetitia Dosch,Female,France
Le jeu de la mort,2010,Philippe Torreton,Male,France
Big in Vietnam,2012,Henriette Nhung,Male,France
Mademoiselle Julie,2011,Juliette Binoche,Female,France
Low Profile,2012,Denis Ménochet,Male,France
On the Edge,2011,Soufia Issami,Female,France
It's Only the End of the World by Jean-Luc Lagarce,2010,Pierre Louis-Calixte,Male,France
La main passe,2012,Bruno Todeschini,Male,France
L'essentiel féminin,2010,Marie Denarnaud,Female,France
The Nights of Alice,2010,Elsa Lunghini,Female,France
Bandits,2011,Isabelle Carré,Female,France
Demain?,2011,Laure de Clermont-Tonnerre,Female,France
A Bad Encounter,2011,Matthieu Dessertine,Male,France
Je ne vous oublierai jamais,2010,Rudi Rosenberg,Male,France
L'oncle Charles,2012,Eddy Mitchell,Male,France
Le café du pont,2010,Bernard Campan,Male,France
Hénaut président,2012,Michel Muller,Male,France
Rendezvous in Kiruna,2012,Jean-Pierre Darroussin,Male,France
Dossier Toroto,2011,Jean Abeillé,Male,France
Twiggy,2011,Christa Théret,Female,France
Black Ocean,2010,Adrien Jolivet,Male,France
Volcanic Strip Tease,2011,Alice Dufour,Female,France
Frank-Étienne Towards Grace,2012,Gérard Depardieu,Male,France
Blackaria,2010,Aurélie Godefroy,Male,France
Simple,2011,Bastien Bouillon,Male,France
L'innocent,2012,Patrick Timsit,Male,France
Douce,2011,Lise Bellynck,Female,France
Mortem,2010,Daria Panchenko,Female,France
Elza,2011,Stana Roumillac,Female,France
White Turnips Make It Hard to Sleep,2011,Salomé Richard,Female,France
Emilie Jolie,2011,François-Xavier Demaison,Male,France
Little Lion,2012,Mytri Attal,Male,France
The Bird,2011,Sandrine Kiberlain,Female,France
L'âme du mal,2011,Rachida Brakni,Female,France
"Ensemble, nous allons vivre une très, très grande histoire d'amour...",2010,Marina Hands,Female,France
Love and Sex under Nazi Occupation,2011,Anouchka Delon,Female,France
Children of the Night,2011,Jules Benchetrit,Male,France
The Wrong Man,2011,Aurélien Recoing,Male,France
Les diamants de la victoire,2010,Lorànt Deutsch,Male,France
Headfirst,2012,Alice de Lencquesaing,Female,France
"Pour toi, j'ai tué",2012,Xavier Briere,Male,France
I'm Your Man,2011,Vincent Macaigne,Male,France
The New Snow White,2011,Lou de Laâge,Female,France
"Sit, Roll Over, Play Dead",2011,Anna Sigalevitch,Female,France
La joie de vivre,2012,Anaïs Demoustier,Female,France
Crawl,2012,Swann Arlaud,Male,France
Just Like Home,2011,Elise Tielrooy,Female,France
There Is a War,2010,Laurent Bateau,Male,France
La baie d'Alger,2012,Catherine Jacob,Female,France
Maman,2012,Josiane Balasko,Female,France
Les secrets de l'invisible,2011,Luc Catania,Male,France
The Afghan Trap,2011,Marie-Josée Croze,Female,France
Fatal Romance,2010,Barbara Schulz,Female,France
Queen of Montreuil,2012,Florence Loiret Caille,Female,France
30° couleur,2012,Lucien Jean-Baptiste,Male,France
La clinique de l'amour!,2012,Bruno Salomone,Male,France
Qui a envie d'être aimé?,2010,Éric Caravaca,Male,France
Victimes,2012,Valentin Bonhomme,Male,France
Rendez-vous avec un ange,2010,Isabelle Carré,Female,France
Electroshock,2011,Christophe Lemoine,Male,France
Un jour mon père viendra,2012,Gérard Jugnot,Male,France
"Mon père, Francis le Belge",2010,Pio Marmaï,Male,France
Voyez comme ils dansent,2011,Marina Hands,Female,France
Black Really Suits You,2012,Sofiia Manousha,Female,France
Les cinq parties du monde,2012,Franck Falise,Male,France
A Suspicion of Innocence,2010,Pascale Arbillot,Female,France
Memories Corner,2011,Déborah François,Female,France
Chantrapas,2010,Dato Tarielachvili,Male,France
Bankable,2012,Pascale Arbillot,Female,France
Melting Love,2010,Emmanuelle Devos,Female,France
Les voies impénétrables,2012,Marie-Christine Adam,Female,France
Code Name: Rose,2012,Claire Keim,Female,France
Low Life,2011,Camille Rutherford,Female,France
Tout le monde dit je t'aime,2011,Romane Barron,Male,France
Elsewhere,2010,Nicolas Abraham,Male,France
Hop-o'-My-Thumb,2011,Denis Lavant,Male,France
Valparaiso,2011,Jean-François Stévenin,Male,France
Bitter Paradise,2012,Solal Forte,Male,France
Un nuage dans un verre d'eau,2012,Anamaria Marinca,Female,France
Early One Morning,2011,Jean-Pierre Darroussin,Male,France
Sous le figuier,2012,Gisèle Casadesus,Female,France
El baile de San Juan,2010,José María de Tavira,Male,France
La fille de sa mère,2011,Sabrina Ouazani,Female,France
Blind Valley,2011,Jean-Hugues Anglade,Male,France
Matriarche,2012,Catherine Badet-Corniou,Male,France
Les insomniaques,2011,Jean-Pierre Mocky,Male,France
Nights with Théodore,2012,Pio Marmaï,Male,France
Graba,2011,Belén Blanco,Female,France
Le pigeon,2010,François Morel,Male,France
The Time of Silence,2011,Loïc Corbery,Male,France
Escalade,2011,Carmen Maura,Female,France
Les lézards,2012,Vincent Macaigne,Male,France
Love,2015,Aomi Muyock,Female,France
Blue Is the Warmest Colour,2013,Léa Seydoux,Female,France
Lucy,2014,Scarlett Johansson,Female,France
Young & Beautiful,2013,Marine Vacth,Female,France
Only Lovers Left Alive,2013,Tilda Swinton,Female,France
A Bigger Splash,2015,Tilda Swinton,Female,France
Beauty and the Beast,2014,Vincent Cassel,Male,France
Suite Française,2014,Michelle Williams,Female,France
One Wild Moment,2015,Vincent Cassel,Male,France
Bang Gang: A Modern Love Story,2015,Finnegan Oldfield,Male,France
Clouds of Sils Maria,2014,Juliette Binoche,Female,France
The Love Punch,2013,Emma Thompson,Female,France
Summertime,2015,Cécile de France,Female,France
Puppylove,2013,Solène Rigot,Female,France
Stranger by the Lake,2013,Pierre Deladonchamps,Male,France
Venus in Fur,2013,Emmanuelle Seigner,Female,France
Aloft,2014,Jennifer Connelly,Female,France
Ida,2013,Agata Kulesza,Female,France
"Two Days, One Night",2014,Marion Cotillard,Female,France
Much Loved,2015,Loubna Abidar,Female,France
The Bélier Family,2014,Karin Viard,Female,France
The Connection,2014,Jean Dujardin,Male,France
The Brand New Testament,2015,Pili Groyne,Female,France
The Past,2013,Bérénice Bejo,Female,France
My King,2015,Vincent Cassel,Male,France
Grace of Monaco,2014,Nicole Kidman,Female,France
Mune: Guardian of the Moon,2014,Omar Sy,Male,France
Departure,2015,Juliet Stevenson,Female,France
Breathe,2014,Joséphine Japy,Female,France
The Childhood of a Leader,2015,Bérénice Bejo,Female,France
Belle & Sebastian,2013,Félix Bossuet,Male,France
The New Girlfriend,2014,Romain Duris,Male,France
Barbecue,2014,Lambert Wilson,Male,France
Girlhood,2014,Karidja Touré,Female,France
Mood Indigo,2013,Romain Duris,Male,France
April and the Extraordinary World,2015,Marion Cotillard,Female,France
It Boy,2013,Virginie Efira,Female,France
Angélique,2013,Nora Arnezeder,Female,France
You and the Night,2013,Kate Moran,Female,France
Möbius,2013,Jean Dujardin,Male,France
Samba,2014,Omar Sy,Male,France
Babysitting,2014,Philippe Lacheau,Male,France
Bastards,2013,Vincent Lindon,Male,France
Eden,2014,Félix de Givry,Male,France
In Harmony,2015,Albert Dupontel,Male,France
Le Week-end,2013,Lindsay Duncan,Female,France
Saint Laurent,2014,Gaspard Ulliel,Male,France
The Lady in the Car with Glasses and a Gun,2015,Freya Mavor,Female,France
Chinese Puzzle,2013,Romain Duris,Male,France
Grand Central,2013,Tahar Rahim,Male,France
Reality,2014,Alain Chabat,Male,France
The Measure of a Man,2015,Vincent Lindon,Male,France
4.48,2014,Aurélie Houguenade,Female,France
Before the Winter Chill,2013,Daniel Auteuil,Male,France
A Chance Encounter,2014,Sophie Marceau,Female,France
Welcome to New York,2014,Gérard Depardieu,Male,France
Journal d'une femme de chambre,2015,Léa Seydoux,Female,France
Abuse of Weakness,2013,Isabelle Huppert,Female,France
The Gilded Cage,2013,Rita Blanco,Female,France
The Finishers,2013,Jacques Gamblin,Male,France
Sky,2015,Diane Kruger,Female,France
Eastern Boys,2013,Olivier Rabourdin,Male,France
The Search,2014,Bérénice Bejo,Female,France
Mia madre,2015,Margherita Buy,Female,France
"2 Autumns, 3 Winters",2013,Vincent Macaigne,Male,France
Nicholas on Holiday,2014,Valérie Lemercier,Female,France
Macadam Stories,2015,Isabelle Huppert,Female,France
Cosmos,2015,Sabine Azéma,Female,France
Smart Ass,2014,Thomas Blumenthal,Male,France
My Golden Days,2015,Quentin Dolmaire,Male,France
Babysitting 2,2015,Philippe Lacheau,Male,France
L'attesa,2015,Juliette Binoche,Female,France
The Sense of Wonder,2015,Virginie Efira,Female,France
Attila Marcel,2013,Guillaume Gouix,Male,France
Love at First Fight,2014,Adèle Haenel,Female,France
Un + une,2015,Jean Dujardin,Male,France
"Sex, Love & Therapy",2014,Sophie Marceau,Female,France
Mary Queen of Scots,2013,Camille Rutherford,Female,France
Goodbye to Language,2014,Héloïse Godet,Female,France
The New Adventures of Aladdin,2015,Kev Adams,Male,France
Violette,2013,Emmanuelle Devos,Female,France
Salvation Army,2013,Said Mrini,Male,France
The Squad,2015,Jean Reno,Male,France
Once in a Lifetime,2014,Ariane Ascaride,Female,France
The French Minister,2013,Thierry Lhermitte,Male,France
Fidelio: Alice's Odyssey,2014,Ariane Labed,Female,France
Microbe & Gasoline,2015,Ange Dargent,Male,France
All About Them,2015,Anaïs Demoustier,Female,France
Camille Claudel 1915,2013,Juliette Binoche,Female,France
Love is in the Air,2013,Ludivine Sagnier,Female,France
Among the Living,2014,Anne Marivin,Female,France
The Chef's Wife,2014,Karin Viard,Female,France
Vive la France,2013,José Garcia,Male,France
Wrestling Queens,2013,Marilou Berry,Female,France
Long Way North,2015,Christa Théret,Female,France
Marguerite,2015,Catherine Frot,Female,France
Alleluia,2014,Lola Dueñas,Female,France
I Kissed a Girl,2015,Pio Marmaï,Male,France
Gett,2014,Ronit Elkabetz,Female,France
Thunder and the House of Magic,2013,Cinda Adams,Female,France
Daddy or Mommy,2015,Laurent Lafitte,Male,France
In the Name of My Daughter,2014,Guillaume Canet,Male,France
Marguerite & Julien,2015,Anaïs Demoustier,Female,France
Rock the Casbah,2013,Morjana Alaoui,Female,France
On My Way,2013,Catherine Deneuve,Female,France
Hippocrates: Diary of a French Doctor,2014,Vincent Lacoste,Male,France
Bright Days Ahead,2013,Fanny Ardant,Female,France
The Sweet Escape,2015,Bruno Podalydès,Male,France
Amnesia,2015,Marthe Keller,Female,France
Mea culpa,2014,Vincent Lindon,Male,France
Too Close to Our Son,2015,Sylvie Testud,Female,France
My Summer in Provence,2014,Jean Reno,Male,France
Two Friends,2015,Golshifteh Farahani,Female,France
Mercuriales,2014,Ana Neborac,Male,France
Colt 45,2014,Gérard Lanvin,Male,France
Jacky in the Kingdom of Women,2014,Vincent Lacoste,Male,France
Jappeloup,2013,Guillaume Canet,Male,France
Love Battles,2013,Sara Forestier,Female,France
Lulu,2014,Malin Crépin,Female,France
Rabid Dogs,2015,Lambert Wilson,Male,France
La fille du 14 juillet,2013,Vimala Pons,Female,France
"Half Sister, Full Love",2015,Virginie Efira,Female,France
Metamorphoses,2014,Matthis Lebrun,Male,France
Dofus: Book 1 - Julith,2015,Sauvane Delanoë,Female,France
Misunderstood,2014,Giulia Salerno,Male,France
Serial Teachers 2,2015,Kev Adams,Male,France
Jailbirds,2015,Sophie Marceau,Female,France
Standing Tall,2015,Catherine Deneuve,Female,France
Les anarchistes,2015,Tahar Rahim,Male,France
For a Woman,2013,Benoît Magimel,Male,France
Taj Mahal,2015,Stacy Martin,Female,France
All Three of Us,2015,Kheiron,Male,France
The New Kid,2015,Réphaël Ghrenassia,Male,France
The Last Diamond,2014,Yvan Attal,Male,France
The Tournament,2015,Michelangelo Passaniti,Male,France
Les yeux jaunes des crocodiles,2014,Julie Depardieu,Female,France
Jealousy,2013,Louis Garrel,Male,France
Dark Touch,2013,Missy Keating,Male,France
Stations of the Cross,2014,Lea van Acken,Female,France
Belle & Sebastian: The Adventure Continues,2015,Félix Bossuet,Male,France
Blind Date,2015,Mélanie Bernier,Female,France
Lou!,2014,Ludivine Sagnier,Female,France
Borderline,2014,Bruno Wolkowitch,Male,France
The Good Life,2013,Zacharie Chasseriaud,Male,France
Made in France,2015,Malik Zidi,Male,France
Thank You for Calling,2015,Vincent Elbaz,Male,France
Going Away,2013,Pierre Rochefort,Male,France
The Boss's Daughter,2015,Olivier Loustau,Male,France
9-Month Stretch,2013,Albert Dupontel,Male,France
The Swimming Trunks,2013,Roger Manning,Male,France
Fiston,2014,Kev Adams,Male,France
The Staple of News,2013,Sara Forestier,Female,France
Next Time I'll Aim for the Heart,2014,Guillaume Canet,Male,France
Eyjafjallajökull,2013,Valérie Bonneton,Female,France
Our Lady of Hormones,2015,Elina Löwensohn,Female,France
Kidon,2013,Tomer Sisley,Male,France
Nectar,2014,Olga Riazanova,Male,France
French Women,2014,Isabelle Adjani,Female,France
In the Shadow of Women,2015,Clotilde Courau,Female,France
Aya of Yop City,2013,Aïssa Maïga,Female,France
Being 14,2015,Athalia Routier,Male,France
Fanny,2013,Daniel Auteuil,Male,France
Arletty A Guilty Passion,2015,Laetitia Casta,Female,France
"Guillaume, la jeunesse du conquérant",2015,Tiésay Deshayes,Male,France
À coup sûr,2014,Laurence Arné,Female,France
Parisienne,2015,Manal Issa,Female,France
Valley of Love,2015,Isabelle Huppert,Female,France
Paris à tout prix,2013,Reem Kherici,Female,France
Tip Top,2013,Isabelle Huppert,Female,France
When It Lifts Its Little Eyes Up,2014,Caroline Ducey,Female,France
Arabian Nights: Volume 1 - The Restless One,2015,Crista Alfaiate,Female,France
Juliette,2013,Astrid Bergès-Frisbey,Female,France
Les révoltés,2014,Paul Bartel,Male,France
SK1,2014,Raphaël Personnaz,Male,France
The Wakhan Front,2015,Jérémie Renier,Male,France
Francofonia,2015,Louis-Do de Lencquesaing,Male,France
Florida,2015,Jean Rochefort,Male,France
Melody,2014,Rachael Blake,Female,France
Terra,2015,Vanessa Paradis,Female,France
Les naufragés,2015,Chloé André,Female,France
The Parisian Bitch: Princess of hearts,2015,Camille Cottin,Female,France
Lulu femme nue,2013,Karin Viard,Female,France
Entre amis,2015,Daniel Auteuil,Male,France
It's Complicated,2014,Manu Payet,Male,France
The Very Private Life of Mister Sim,2015,Jean-Pierre Bacri,Male,France
Bis,2015,Franck Dubosc,Male,France
Paris Follies,2014,Isabelle Huppert,Female,France
The Eiffel Tower Mystery,2015,Marie Denarnaud,Female,France
Go Home,2015,Golshifteh Farahani,Female,France
Insecure,2014,Reda Kateb,Male,France
Marie's Story,2014,Isabelle Carré,Female,France
Boomerang,2015,Laurent Lafitte,Male,France
Fort Buchanan,2014,Andy Gillet,Male,France
Tonnerre,2013,Vincent Macaigne,Male,France
Number One Fan,2014,Sandrine Kiberlain,Female,France
Reality+,2014,Vincent Colombe,Male,France
Nobody from Nowhere,2014,Mathieu Kassovitz,Male,France
Apnée,2015,Adèle Exarchopoulos,Female,France
Gradiva,2014,Sarah Forveille,Male,France
Caprice,2015,Virginie Efira,Female,France
Way Back Home,2013,Jeon Do-yeon,Female,France
The Last Hammer Blow,2014,Romain Paul,Male,France
The Adulteen,2013,Laurent Lafitte,Male,France
Kidnapping of Michel Houellebecq,2014,Michel Houellebecq,Male,France
Journey to the Mother,2014,Adèle Exarchopoulos,Female,France
Pleurer des larmes d'enfance,2015,Tennessee Maquignon,Male,France
Fatima,2015,Soria Zeroual,Female,France
Just a Sigh,2013,Emmanuelle Devos,Female,France
Fonzy,2013,José Garcia,Male,France
Marius,2013,Daniel Auteuil,Male,France
I Am a Soldier,2015,Louise Bourgoin,Female,France
Party Girl,2014,Angélique Litzenburger,Male,France
The Clearstream Affair,2014,Gilles Lellouche,Male,France
Ariane's Thread,2014,Ariane Ascaride,Female,France
A Spiritual Matter,2015,Sophie Marceau,Female,France
Bodybuilder,2014,Vincent Rottiers,Male,France
Joséphine,2013,Marilou Berry,Female,France
Gibraltar,2013,Gilles Lellouche,Male,France
Goal of the Dead,2014,Alban Lenoir,Male,France
Life of Riley,2014,Sabine Azéma,Female,France
Not My Type,2014,Émilie Dequenne,Female,France
Les invincibles,2013,Gérard Depardieu,Male,France
Arabian Nights: Volume 3 - The Enchanted One,2015,Crista Alfaiate,Female,France
Wild Life,2014,Mathieu Kassovitz,Male,France
Quartet,2015,Lola Créton,Female,France
The Mark of the Angels - Miserere,2013,Gérard Depardieu,Male,France
Les gamins,2013,Alain Chabat,Male,France
Geronimo,2014,Céline Sallette,Female,France
The Scapegoat,2013,Raphaël Personnaz,Male,France
Pop Redemption,2013,Julien Doré,Male,France
Never on the First Night,2014,Alexandra Lamy,Female,France
Mystery at the Opera,2015,Mathilda May,Female,France
24 Days,2014,Zabou Breitman,Female,France
L'ex de ma vie,2014,Géraldine Nakache,Female,France
Back Alley,2014,Laure Calamy,Female,France
In the Courtyard,2014,Catherine Deneuve,Female,France
"If You Don't, I Will",2014,Emmanuelle Devos,Female,France
Le Grimoire d'Arkandias,2014,Ryan Brodie,Male,France
Portrait of the Artist,2014,Bertrand Bonello,Male,France
Arrêtez-moi,2013,Sophie Marceau,Female,France
To Life,2014,Julie Depardieu,Female,France
High Society,2014,Ana Girardot,Female,France
Chic!,2015,Fanny Ardant,Female,France
Fat Legs,2015,Agnès Boury,Female,France
The Proposal,2015,Nicolas Bridet,Male,France
Arabian Nights: Volume 2 - The Desolate One,2015,Crista Alfaiate,Female,France
The White Knights,2015,Vincent Lindon,Male,France
Turf,2013,Alain Chabat,Male,France
GriGris,2013,Souleymane Démé,Male,France
French Cuisine,2015,Franck Dubosc,Male,France
Metamorphosis,2014,Friedelise Stutte,Female,France
An Ordinary Story,2014,Marie Denarnaud,Female,France
Nice and Easy,2014,Baptiste Lecaplain,Male,France
Poussières,2013,Salomé Stévenin,Female,France
Run,2014,Abdoul Karim Konaté,Male,France
Cupcakes,2013,Dana Ivgy,Female,France
Le premier été,2014,Hélène Vincent,Female,France
Young Couples,2013,Doria Achour,Female,France
Anna,2015,Juana Acosta,Female,France
Vincent,2014,Thomas Salvador,Male,France
Age of Panic,2013,Laetitia Dosch,Female,France
Raging Rose,2015,Liv Henneguier,Female,France
The Dream Kids,2013,Paul Bartel,Male,France
The Public Girl,2013,Doria Achour,Female,France
Les gazelles,2014,Camille Chamoux,Female,France
Sand Castles,2015,Emma de Caunes,Female,France
Victor Young Perez,2013,Brahim Asloum,Male,France
Memories,2014,Michel Blanc,Male,France
The Art Dealer,2015,Anna Sigalevitch,Female,France
A Decent Man,2015,Nicolas Duvauchelle,Male,France
His Wife,2014,Yvan Attal,Male,France
Comment c'est loin,2015,Orelsan,Male,France
La forêt,2014,Nicolas Silberg,Male,France
21 Nights with Pattie,2015,Isabelle Carré,Female,France
The Dune,2013,Niels Arestrup,Male,France
Y a-t-il une vierge encore vivante?,2015,Elina Löwensohn,Female,France
Vicky,2015,Victoria Bedos,Female,France
My Name Is Hmmm...,2013,Sylvie Testud,Female,France
Santa Claus!,2014,Tahar Rahim,Male,France
"Robin des Bois, la véritable histoire",2015,Max Boublil,Male,France
Le talent de mes amis,2015,Alex Lutz,Male,France
Benedict Ironbreaker: The Red Taxis,2014,Gérard Jugnot,Male,France
Married to a Stranger,2015,Déborah François,Female,France
Another Life,2013,JoeyStarr,Male,France
Homeland,2013,Tewfik Jallab,Male,France
A Mother,2015,Mathilde Seigner,Female,France
"Salaud, on t'aime.",2014,Johnny Hallyday,Male,France
Billy and Buddy,2013,Franck Dubosc,Male,France
